#locs,%set time,d1,t1,d2,t2,d3,t3,d4,t4,d5,t5,d6,t6,d7,t7,d8,t8,d9,t9,d10,t10
15,0,196,3.125786066,163.5,7.589741111,199,2.7,163.5,4.85,215,0.02,186.5,0.02,196,1.435,163.5,1.45,197,0.535,164,0.515
15,20,256,1.161400556,221,1.331075549,261,3.35,233,2.95,271,0.02,221.5,0.02,256,1.75,221.5,0.99,260,1.22,221.5,1.01
15,50,470,0.175351977,461,0.134790063,470,0.2,461,0.4,475,0.02,461,0.02,470,1.085,461,1.04,470,1.705,461,1.53
15,80,702,0.053076506,699,0.059330583,702,0.15,699,0.4,702,0.02,699,0.02,702,2.06,699,1.945,702,1.48,699,1.425
30,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,281,3.95,233.5,7.05,345,0.02,252.5,0.02,274,3.185,217,4.65,299,0.945,237.5,0.78
30,20,398,24.31389499,354.5,79.14519202,430,4.75,399.5,4.875,517,0.02,450,0.02,407,2.47,357,1.895,435,2.98,373,2.63
30,50,979,1.862316489,972.5,2.932659507,979,0.45,972.5,0.4,979,0.02,972.5,0.02,979,1.345,972.5,1.26,979,2.505,972.5,1.795
30,80,1318.5,0.300250888,1307,0.268707514,1318.5,0.45,1307,0.6,1318.5,0.02,1307,0.02,1318.5,2.29,1307,2.045,1318.5,2.385,1307,2.185
100,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,496,6.85,401,7.345,595,0.02,551,0.02,494,11.72,403.5,17.9,595,1.33,551,1.365
100,20,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1274.5,6.3,1243,6.55,1275.5,0.02,1198.5,0.025,1210.5,19.555,1183.5,11.37,1210.5,12.09,1183.5,10.48
100,50,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1871,6.76,1647.5,6.545,1847,0.02,1629,0.025,1677,10.61,1579.5,12.62,1689,26.32,1583.5,23.335
100,80,2880,29.19658613,2505,26.76523388,2880,1.42,2568.5,3.79,2880,0.02,2523.5,0.02,2880,5.19,2523.5,6.685,2880,13.93,2523.5,15.905